,B106,B107,B108,B109,B110,B111,B112,B113,B114,B115,B116,B117,B118,B119,B120,B121,B122,B123,B125,B126,B127,B128,B129,B130,B131,B132,B133,B134,B135,B136,B137,B138,B139,B140,B141,B142,B143,B144,B145,B146,B147,B148,B149,B150,B151,B152,B153,B154,B155,B156,B157,B158,B159,B160,B161,B162,B163,B164,B165,B166,B167,B168,B169,B170,B171,B172,B173,B174,B175,B176,B177,B178,B179,B180,B181,B182,B183,B184,B185,B186,B187,B188,B189,B190,B191,B192,B193,B194,B195,B196,Domain,Supergroup,Division,Subdivision,Class,Order,Family,Genus,Species
ASV7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Eukaryota,s__Unc. Eukaryota,d__Unc. Eukaryota,s__Unc. Eukaryota,c__Unc. Eukaryota,o__Unc. Eukaryota,f__Unc. Eukaryota,g__Unc. Eukaryota,s__Unc. Eukaryota sp.
ASV12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,d__Eukaryota,s__Unc. Eukaryota,d__Unc. Eukaryota,s__Unc. Eukaryota,c__Unc. Eukaryota,o__Unc. Eukaryota,f__Unc. Eukaryota,g__Unc. Eukaryota,s__Unc. Eukaryota sp.
ASV18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,3,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Eukaryota,s__Unc. Eukaryota,d__Unc. Eukaryota,s__Unc. Eukaryota,c__Unc. Eukaryota,o__Unc. Eukaryota,f__Unc. Eukaryota,g__Unc. Eukaryota,s__Unc. Eukaryota sp.
ASV19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Eukaryota,s__TSAR,d__Rhizaria,s__Cercozoa,c__Filosa-Granofilosea,o__Limnofilida,f__Limnofilidae,g__Limnofilidae_X,s__Limnofilidae_X_sp.
ASV30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Eukaryota,s__TSAR,d__Rhizaria,s__Cercozoa,c__Filosa-Granofilosea,o__Limnofilida,f__Limnofilidae,g__Limnofilidae_X,s__Limnofilidae_X_sp.
ASV36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Eukaryota,s__TSAR,d__Rhizaria,s__Cercozoa,c__Filosa-Granofilosea,o__Limnofilida,f__Limnofilidae,g__Limnofilidae_X,s__Limnofilidae_X_sp.
ASV39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Eukaryota,s__Amoebozoa,d__Tubulinea,s__Tubulinea_X,c__Elardia,o__Arcellinida,f__Difflugina,g__Difflugia,s__Difflugia_acuminata
ASV40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Eukaryota,s__Amoebozoa,d__Tubulinea,s__Tubulinea_X,c__Elardia,o__Arcellinida,f__Difflugina,g__Difflugia,s__Difflugia_acuminata
ASV44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Eukaryota,s__TSAR,d__Rhizaria,s__Cercozoa,c__Filosa-Granofilosea,o__Limnofilida,f__Limnofilidae,g__Limnofilidae_X,s__Limnofilidae_X_sp.
ASV45,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Eukaryota,s__TSAR,d__Rhizaria,s__Cercozoa,c__Filosa-Granofilosea,o__Limnofilida,f__Limnofilidae,g__Limnofilidae_X,s__Limnofilidae_X_sp.
ASV47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Eukaryota,s__TSAR,d__Rhizaria,s__Cercozoa,c__Filosa-Granofilosea,o__Limnofilida,f__Limnofilidae,g__Limnofilidae_X,s__Limnofilidae_X_sp.
ASV48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,9,14,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,15,49,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,50,169,0,0,0,0,0,0,d__Eukaryota,s__TSAR,d__Rhizaria,s__Cercozoa,c__Filosa-Granofilosea,o__Limnofilida,f__Limnofilidae,g__Limnofilidae_X,s__Limnofilidae_X_sp.
ASV50,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,5,14,17,0,0,5,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,16,4,0,0,0,0,0,0,0,8,0,8,0,0,0,14,17,5,57,0,0,0,0,0,0,d__Eukaryota,s__TSAR,d__Rhizaria,s__Cercozoa,c__Filosa-Granofilosea,o__Limnofilida,f__Limnofilidae,g__Limnofila,s__Limnofila_longa
ASV51,0,8,0,25,0,0,0,3,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Eukaryota,s__TSAR,d__Rhizaria,s__Cercozoa,c__Filosa-Granofilosea,o__Limnofilida,f__Limnofilidae,g__Limnofila,s__Limnofila_borokensis
ASV59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Eukaryota,s__TSAR,d__Rhizaria,s__Cercozoa,c__Filosa-Granofilosea,o__Limnofilida,f__Limnofilidae,g__Limnofilidae_X,s__Limnofilidae_X_sp.
ASV60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Eukaryota,s__TSAR,d__Rhizaria,s__Cercozoa,c__Filosa-Granofilosea,o__Limnofilida,f__Limnofilidae,g__Limnofilidae_X,s__Limnofilidae_X_sp.
ASV62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Eukaryota,s__TSAR,d__Rhizaria,s__Cercozoa,c__Filosa-Granofilosea,o__Limnofilida,f__Limnofilidae,g__Limnofilidae_X,s__Limnofilidae_X_sp.
ASV63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,21,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,d__Eukaryota,s__TSAR,d__Rhizaria,s__Cercozoa,c__Filosa-Granofilosea,o__Limnofilida,f__Limnofilidae,g__Limnofilidae_X,s__Limnofilidae_X_sp.
ASV64,0,0,0,0,0,0,4,0,0,76,0,69,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,33,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,172,98,0,0,0,0,0,0,0,2,0,0,0,0,9,0,0,76,82,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,33,98,0,0,0,7,0,0,d__Eukaryota,s__TSAR,d__Rhizaria,s__Cercozoa,c__Filosa-Granofilosea,o__Limnofilida,f__Limnofilidae,g__Limnofilidae_X,s__Limnofilidae_X_sp.
ASV66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,d__Eukaryota,s__TSAR,d__Rhizaria,s__Cercozoa,c__Filosa-Granofilosea,o__Limnofilida,f__Limnofilidae,g__Limnofilidae_X,s__Limnofilidae_X_sp.
ASV67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Eukaryota,s__TSAR,d__Rhizaria,s__Cercozoa,c__Filosa-Granofilosea,o__Limnofilida,f__Limnofilidae,g__Limnofilidae_X,s__Limnofilidae_X_sp.
ASV68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Eukaryota,s__TSAR,d__Rhizaria,s__Cercozoa,c__Filosa-Granofilosea,o__Limnofilida,f__Limnofilidae,g__Limnofilidae_X,s__Limnofilidae_X_sp.
ASV71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,d__Eukaryota,s__TSAR,d__Rhizaria,s__Cercozoa,c__Filosa-Granofilosea,o__Limnofilida,f__Limnofilidae,g__Limnofilidae_X,s__Limnofilidae_X_sp.
ASV73,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,d__Eukaryota,s__TSAR,d__Rhizaria,s__Cercozoa,c__Filosa-Granofilosea,o__Limnofilida,f__Limnofilidae,g__Limnofilidae_X,s__Limnofilidae_X_sp.
ASV74,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Eukaryota,s__TSAR,d__Rhizaria,s__Cercozoa,c__Filosa-Granofilosea,o__Limnofilida,f__Limnofilidae,g__Limnofila,s__Limnofila_anglica
ASV75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,5,0,0,0,0,d__Eukaryota,s__TSAR,d__Rhizaria,s__Cercozoa,c__Filosa-Granofilosea,o__Limnofilida,f__Limnofilidae,g__Limnofila,s__Limnofila_anglica
ASV79,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,d__Eukaryota,s__TSAR,d__Unc. TSAR,s__Unc. TSAR,c__Unc. TSAR,o__Unc. TSAR,f__Unc. TSAR,g__Unc. TSAR,s__Unc. TSAR sp.
ASV83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Eukaryota,s__TSAR,d__Unc. TSAR,s__Unc. TSAR,c__Unc. TSAR,o__Unc. TSAR,f__Unc. TSAR,g__Unc. TSAR,s__Unc. TSAR sp.
ASV90,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Eukaryota,s__Unc. Eukaryota,d__Unc. Eukaryota,s__Unc. Eukaryota,c__Unc. Eukaryota,o__Unc. Eukaryota,f__Unc. Eukaryota,g__Unc. Eukaryota,s__Unc. Eukaryota sp.
ASV108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Eukaryota,s__Unc. Eukaryota,d__Unc. Eukaryota,s__Unc. Eukaryota,c__Unc. Eukaryota,o__Unc. Eukaryota,f__Unc. Eukaryota,g__Unc. Eukaryota,s__Unc. Eukaryota sp.
ASV109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Eukaryota,s__Unc. Eukaryota,d__Unc. Eukaryota,s__Unc. Eukaryota,c__Unc. Eukaryota,o__Unc. Eukaryota,f__Unc. Eukaryota,g__Unc. Eukaryota,s__Unc. Eukaryota sp.
